messages,labels
"urgent ! call 09061749602 from landline . your complimentary 4 * tenerife holiday or £ 10,000 cash await collection sae t & c box 528 hp20 1yf 150ppm 18+",spam
+449071512431 urgent ! this be the 2nd attempt to contact u ! u have won £ 1250 call 09071512433 b4 050703 t & csbcm4235wc1n3xx . callcost 150ppm mobilesvary . max£7 . 50,spam
free for 1st week ! no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txte and tell ur mate www.getzed.co.uk pobox 36504 w45wq norm150p / tone 16+,spam
"urgent ! call 09066612661 from landline . your complementary 4 * tenerife holiday or £ 10,000 cash await collection sae t & cs po box 3 wa14 2px 150ppm 18 + sender : hol offer",spam
winner ! ! as a value network customer you have be select to receivea £ 900 prize reward ! to claim call 09061701461 . claim code kl341 . valid 12 hour only .,spam
okmail : dear dave this be your final notice to collect your 4 * tenerife holiday or # 5000 cash award ! call 09061743806 from landline . tc sae box326 cw25wx 150ppm,spam
07732584351 - rodger burns - msg = we try to call you re your reply to our sm for a free nokia mobile + free camcorder . please call now 08000930705 for delivery tomorrow,spam
`` urgent ! this be the 2nd attempt to contact u ! u have won £ 1000call 09071512432 b4 300603t & csbcm4235wc1n3xx.callcost150ppmmobilesvary . max£7 . 50 '',spam
congrat ! nokia 3650 video camera phone be your call 09066382422 call cost 150ppm ave call 3min vary from mobile 16 + close 300603 post bcm4284 ldn wc1n3xx,spam
"urgent ! please call 0906346330 . your abta complimentary 4 * spanish holiday or £ 10,000 cash await collection sae t & cs box 47 po19 2ez 150ppm 18+",spam
congrat 2 mobile 3 g videophones r yours . call 09063458130 now ! videochat wid ur mate play java game dload polyph music noline rentl . bx420 . ip4 . 5we . 150p,spam
dear 0776xxxxxxx u 've be invite to xchat . this be our final attempt to contact u ! txt chat to 86688 150p / msgrcvdhg / suite342/2land / row / w1j6hl ldn 18yr,spam
win the new `` harry potter and the order of the phoenix ( book 5 ) reply harry answer 5 question - chance to be the first among readers !,spam
sms auction - a brand new nokia 7250 be up 4 auction today ! auction be free 2 join & take part ! txt nokia to 86021 now !,spam
"09066362231 urgent ! your mobile no 07xxxxxxxxx win a £ 2,000 bonus caller prize on 02/06/03 ! this be the 2nd attempt to reach you ! call 09066362231 asap !",spam
dear u 've be invite to xchat . this be our final attempt to contact u ! txt chat to 86688,spam
"449050000301 you have win a £ 2,000 price ! to claim call 09050000301.",spam
you be choose to receive a £ 350 award ! pls call claim number 09066364311 to collect your award which you be select to receive as a value mobile customer .,spam
44 7732584351 do you want a new nokia 3510i colour phone deliveredtomorrow ? with 300 free minute to any mobile + 100 free text + free camcorder reply or call 08000930705.,spam
"urgent ! your mobile be award a £ 1,500 bonus caller prize on 27/6/03 . our final attempt 2 contact u ! call 08714714011",spam
congrats ! 2 mobile 3 g videophones r yours . call 09063458130 now ! videochat wid your mate play java game dload polyph music noline rentl .,spam
"wan2 win a meet+greet with westlife 4 u or a m8 ? they be currently on what tour ? 1 ) unbreakable 2 ) untamed 3 ) unkempt . text 1,2 or 3 to 83049 . cost 50p + std text",spam
urgent this be our 2nd attempt to contact u. your £ 900 prize from yesterday be still await collection . to claim call now 09061702893,spam
want explicit sex in 30 sec ? ring 02073162414 now ! cost 20p / min,spam
sorry i miss your call let 's talk when you have the time . i be on 07090201529,spam
congratulation you 've won . you be a winner in our august £ 1000 prize draw . call 09066660100 now . prize code 2309.,spam
fantasy football be back on your tv . go to sky gamestar on sky active and play £ 250k dream team . scoring start on saturday so register now ! sky opt out to 88088,spam
87077 : kick off a new season with 2wks free goal & news to ur mobile ! txt ur club name to 87077 eg villa to 87077,spam
this be the 2nd attempt to contract u you have win this week top prize of either £ 1000 cash or £ 200 prize . just call 09066361921,spam
"you have win ? 1,000 cash or a ? 2,000 prize ! to claim call09050000327",spam
talk sexy ! ! make new friend or fall in love in the world most discreet text date service . just text vip to 83110 and see who you could meet .,spam
todays vodafone number end with 4882 be select to a receive a £ 350 award . if your number match call 09064019014 to receive your £ 350 award .,spam
gent ! we be try to contact you . last weekend draw show that you win a £ 1000 prize guaranteed . call 09064012160 . claim code k52 . valid 12hrs only . 150ppm,spam
camera - you be award a sipix digital camera ! call 09061221066 fromm landline . delivery within 28 day .,spam
you ve won ! your 4 * costa del sol holiday or £ 5000 await collection . call 09050090044 now toclaim . sae tc s pobox334 stockport sk38xh cost£1.50 / pm max10min,spam
well do ! your 4 * costa del sol holiday or £ 5000 await collection . call 09050090044 now toclaim . sae tc pobox334 stockport sk38xh cost£1.50 / pm max10min,spam
